사업장명,도로명소재지,전화번호,연료사용량(총합)
Daemyung Concrete,Chungcheongbuk-do Geumpyeong-ro Goesan-gun 458,043-834-0178,191400
Jinmi Food Goesan Factory ,Munmu-ro 184,043-903-5500,832.32
